epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,756.144,2.10932,1.15859,1.88352,0.9137,0.85023,0.9416,0.65866,2.15406,1.30358,1.95688,0.000660299,0.000660299,0.000660299
63,768.114,2.10403,1.18191,1.87175,0.85999,0.86613,0.9349,0.65793,2.16472,1.33281,1.96448,0.000643795,0.000643795,0.000643795
64,780.048,2.14517,1.16837,1.90555,0.90072,0.8238,0.93434,0.65433,2.17471,1.31058,1.95519,0.000627292,0.000627292,0.000627292
65,791.992,2.05768,1.13309,1.88639,0.86619,0.8955,0.94557,0.66689,2.14652,1.23973,1.94353,0.000610789,0.000610789,0.000610789
66,803.958,2.14403,1.15052,1.87628,0.84402,0.91523,0.94933,0.6737,2.13614,1.21062,1.94656,0.000594286,0.000594286,0.000594286
67,815.899,2.1256,1.13421,1.8674,0.88868,0.8629,0.95151,0.67292,2.12892,1.27013,1.95283,0.000577782,0.000577782,0.000577782
68,827.811,2.05946,1.13879,1.85382,0.90442,0.8535,0.94564,0.66686,2.12026,1.25816,1.93656,0.000561279,0.000561279,0.000561279
69,839.819,2.07712,1.09381,1.86026,0.87268,0.86085,0.93649,0.6603,2.10908,1.37311,1.93071,0.000544776,0.000544776,0.000544776
70,851.827,2.09785,1.13821,1.87147,0.847,0.90965,0.94751,0.67143,2.12402,1.2073,1.94051,0.000528272,0.000528272,0.000528272
71,864.099,2.08809,1.10544,1.86506,0.85663,0.9148,0.95085,0.6579,2.17022,1.27352,1.95379,0.000511769,0.000511769,0.000511769
72,875.981,2.08689,1.09406,1.88038,0.89067,0.88105,0.94916,0.67967,2.0923,1.27248,1.92398,0.000495266,0.000495266,0.000495266
73,887.797,2.06846,1.05242,1.86677,0.90177,0.86452,0.95728,0.67016,2.17342,1.29686,1.95015,0.000478762,0.000478762,0.000478762
74,899.766,2.02208,1.06162,1.85781,0.87874,0.87579,0.95279,0.67025,2.13406,1.18692,1.95143,0.000462259,0.000462259,0.000462259
75,911.647,2.04274,1.11438,1.85684,0.94212,0.80211,0.94949,0.67351,2.09946,1.19669,1.92294,0.000445756,0.000445756,0.000445756
76,923.533,2.00776,1.09351,1.86143,0.87283,0.92444,0.9561,0.69329,2.10791,1.24948,1.93978,0.000429253,0.000429253,0.000429253
77,935.369,2.04109,1.06277,1.87595,0.87949,0.89055,0.95284,0.67982,2.16101,1.24689,1.96918,0.000412749,0.000412749,0.000412749
78,947.284,2.01151,1.0509,1.85098,0.87842,0.90707,0.95807,0.68228,2.15039,1.20852,1.9545,0.000396246,0.000396246,0.000396246
79,959.065,2.0339,1.06112,1.86547,0.88472,0.88636,0.96252,0.6839,2.12044,1.1934,1.93619,0.000379743,0.000379743,0.000379743
80,970.847,1.99868,1.02712,1.85936,0.93126,0.87593,0.96758,0.69874,2.15389,1.13455,1.95332,0.000363239,0.000363239,0.000363239
81,982.628,1.97691,1.03622,1.84374,0.86436,0.9095,0.959,0.69053,2.06698,1.18074,1.92608,0.000346736,0.000346736,0.000346736
82,994.422,1.99308,1.05517,1.83893,0.87461,0.91671,0.95786,0.68514,2.09722,1.12777,1.93191,0.000330233,0.000330233,0.000330233
83,1006.19,1.98606,1.00406,1.8454,0.86586,0.9332,0.96245,0.69011,2.11483,1.13098,1.93949,0.000313729,0.000313729,0.000313729
84,1018.04,1.97678,1.00236,1.86401,0.86756,0.91028,0.96435,0.67935,2.08475,1.17701,1.91851,0.000297226,0.000297226,0.000297226
85,1029.8,1.92005,0.97396,1.8236,0.86316,0.9146,0.95109,0.68121,2.10565,1.16873,1.92631,0.000280723,0.000280723,0.000280723
86,1041.64,1.9482,1.0108,1.82623,0.89592,0.90045,0.95937,0.69173,2.08633,1.12672,1.91883,0.00026422,0.00026422,0.00026422
87,1053.53,1.96545,1.0383,1.84474,0.89387,0.91691,0.95871,0.68299,2.10734,1.13461,1.92751,0.000247716,0.000247716,0.000247716
88,1065.53,1.94217,1.0022,1.85272,0.87,0.92169,0.95828,0.6889,2.11143,1.18403,1.93136,0.000231213,0.000231213,0.000231213
89,1077.55,1.9128,0.9838,1.83675,0.9056,0.91687,0.96086,0.69138,2.09336,1.11157,1.92286,0.00021471,0.00021471,0.00021471
90,1089.48,1.94775,1.00486,1.81921,0.88597,0.92326,0.96126,0.6829,2.10262,1.15587,1.92598,0.000198206,0.000198206,0.000198206
91,1120.45,1.86817,0.90811,1.81189,0.8675,0.90728,0.95853,0.69583,2.07931,1.2176,1.93014,0.000181703,0.000181703,0.000181703
92,1132.06,1.86247,0.86792,1.80811,0.86676,0.90184,0.95344,0.6805,2.13456,1.19097,1.93732,0.0001652,0.0001652,0.0001652
93,1143.68,1.88226,0.87752,1.81538,0.85713,0.90744,0.95534,0.68507,2.08671,1.16025,1.92763,0.000148696,0.000148696,0.000148696
94,1155.27,1.82685,0.88344,1.82252,0.85487,0.90574,0.95545,0.68866,2.08773,1.18198,1.9279,0.000132193,0.000132193,0.000132193
95,1167.09,1.83007,0.85865,1.82805,0.86778,0.90957,0.96046,0.68433,2.11483,1.09274,1.92375,0.00011569,0.00011569,0.00011569
96,1178.72,1.81714,0.84612,1.80089,0.8828,0.90139,0.95935,0.69496,2.07292,1.16569,1.91752,9.91865e-05,9.91865e-05,9.91865e-05
97,1190.62,1.80786,0.83978,1.80268,0.88944,0.8843,0.95837,0.69115,2.1109,1.11264,1.92642,8.26832e-05,8.26832e-05,8.26832e-05
98,1202.37,1.8158,0.84163,1.82399,0.88265,0.88898,0.95535,0.69263,2.05057,1.1432,1.91567,6.61799e-05,6.61799e-05,6.61799e-05
99,1214.13,1.81199,0.83295,1.80181,0.86737,0.9026,0.95669,0.69322,2.05391,1.13981,1.91396,4.96766e-05,4.96766e-05,4.96766e-05
100,1225.85,1.7951,0.84069,1.81808,0.8863,0.89377,0.96001,0.69995,2.07244,1.11755,1.91825,3.31733e-05,3.31733e-05,3.31733e-05
