epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1304.32,1.72417,0.94976,1.83356,0.88093,0.85937,0.93956,0.69517,1.96807,1.14663,1.94947,0.000156771,0.000156771,0.000156771
84,1320,1.74483,0.96243,1.8433,0.9053,0.84313,0.94391,0.68868,1.97966,1.27784,1.93908,0.000148524,0.000148524,0.000148524
85,1336.18,1.66957,0.94841,1.79683,0.91459,0.85322,0.94337,0.68971,1.96272,1.21742,1.9329,0.000140277,0.000140277,0.000140277
86,1352.24,1.69065,0.93428,1.8101,0.93143,0.84579,0.95261,0.7085,1.9494,1.2562,1.93385,0.000132031,0.000132031,0.000132031
87,1368.26,1.69923,0.97583,1.83435,0.88748,0.89214,0.95651,0.69635,1.95025,1.25161,1.94002,0.000123784,0.000123784,0.000123784
88,1384.02,1.69528,0.94842,1.82635,0.89919,0.86135,0.95004,0.69789,1.95501,1.26683,1.9324,0.000115537,0.000115537,0.000115537
89,1399.79,1.67583,0.94515,1.81889,0.85248,0.8943,0.95392,0.70387,1.94546,1.1176,1.93177,0.00010729,0.00010729,0.00010729
90,1415.46,1.69355,0.96772,1.7919,0.90677,0.84566,0.94891,0.7023,1.95855,1.1527,1.93243,9.90437e-05,9.90437e-05,9.90437e-05
91,1469.13,1.64322,0.88042,1.78774,0.88815,0.85693,0.94331,0.69554,1.96275,1.19171,1.94003,9.0797e-05,9.0797e-05,9.0797e-05
92,1484.9,1.602,0.80929,1.79002,0.83905,0.93304,0.95688,0.70159,1.9788,1.20044,1.94041,8.25503e-05,8.25503e-05,8.25503e-05
93,1500.44,1.59735,0.81944,1.77861,0.83072,0.88697,0.95706,0.70835,1.94062,1.18553,1.93285,7.43036e-05,7.43036e-05,7.43036e-05
94,1515.63,1.58306,0.81838,1.78436,0.89318,0.86895,0.96217,0.71164,1.95724,1.18962,1.93498,6.60569e-05,6.60569e-05,6.60569e-05
95,1530.68,1.6029,0.78813,1.809,0.87727,0.89564,0.96339,0.71218,1.96721,1.25651,1.94092,5.78102e-05,5.78102e-05,5.78102e-05
96,1545.63,1.56026,0.78665,1.77733,0.87964,0.87649,0.96005,0.70738,1.93329,1.27446,1.93083,4.95635e-05,4.95635e-05,4.95635e-05
97,1560.43,1.5553,0.79188,1.77757,0.86623,0.89357,0.9648,0.71374,1.94821,1.19447,1.93541,4.13168e-05,4.13168e-05,4.13168e-05
98,1575.37,1.5634,0.79741,1.78288,0.83341,0.93673,0.96264,0.713,1.94601,1.21495,1.93405,3.30701e-05,3.30701e-05,3.30701e-05
99,1590.54,1.5384,0.77116,1.77221,0.83977,0.92765,0.9648,0.71416,1.94661,1.18574,1.93241,2.48234e-05,2.48234e-05,2.48234e-05
100,1605.51,1.53801,0.78457,1.78454,0.82192,0.94568,0.96264,0.71704,1.94804,1.17375,1.93362,1.65767e-05,1.65767e-05,1.65767e-05
